entry_id,name,score,entry_hash,last_updated,speed,stamina,power,guts,wit,rank_turf,rank_dirt,rank_sprint,rank_mile,rank_medium,rank_long,rank_front,rank_pace,rank_late,rank_end,skills,sparks
1,Agnes Tachyon,11478,70f935ba7355697cf9403d981f833531,2025-10-20 22:50:23,1159,491,1033,348,489,A,G,G,C,S,B,E,A,A,F,U=ma2|Standard Distance ◎|Corner Recovery ○|Go with the Flow|Medium Corners ◎|Straight Descent|Triumphant Pulse|Professor of Curvature|Nimble Navigator|Preferred Position|Murmur,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 3}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Medium Corners \u25cb"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Arima Kinen"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 5}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Medium"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Pace Chaser"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Triumphant Pulse"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Sky-High Teio Step"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Osaka Hai"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Autumn)"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Acceleration \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Thunderbolt Step"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Lone Wolf"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""February S."", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""NHK Mile C."", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Nakayama Racecourse \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Adept"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Hydrate"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Nimble Navigator"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Takarazuka Kinen"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Recovery"", ""count"": 2}]"
2,Agnes Tachyon,7007,72b66d800534c02ce2fa2a145b709874,2025-10-20 22:50:23,688,536,524,250,468,A,E,G,D,A,B,E,A,B,F,U=ma2|Wet Conditions ◎|Frenzied Front Runners|Hesitant Front Runners|Mile Straightaways ◎|Murmur|Standard Distance ◎|Summer Runner ◎|Frenzied End Closers|Hesitant Pace Chasers|Tether|Sharp Gaze,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Pace Chaser"", ""count"": 3}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Hesitant Pace Chasers"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Frenzied End Closers"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Stamina"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Where There's a Will, There's a Way"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Triumphant Pulse"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Trick (Rear)"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Late Surger Corners \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Flustered Pace Chasers"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Fighter"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Japanese Oaks"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Thunderbolt Step"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""NHK Mile C."", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Yasuda Kinen"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Standard Distance \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Hydrate"", ""count"": 2}]"
3,Agnes Tachyon,7167,74d5ed0098d6fda238a0ae8f79ec455b,2025-10-20 22:50:23,606,422,589,315,640,S,G,G,C,S,B,E,A,B,F,U=ma2|Standard Distance ◎|Frenzied Front Runners|Subdued Front Runners|Opening Gambit|Sharp Gaze|Tokyo Racecourse ◎|Trick (Rear)|Frenzied End Closers|Hesitant Front Runners|Late Surger Straightaways ◎,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Pace Chaser"", ""count"": 2}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Takarazuka Kinen"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Autumn)"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Subdued Front Runners"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Mile"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Where There's a Will, There's a Way"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Cut and Drive!"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Trick (Rear)"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Late Surger Corners \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Flustered Pace Chasers"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Fighter"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Recovery"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Slick Surge"", ""count"": 1}]"
4,Agnes Tachyon,8021,c690dd3ad79192d3cef8674f299e9247,2025-10-20 22:50:23,729,413,720,292,626,A,G,G,C,A,B,E,A,A,F,Introduction to Physiology|The Duty of Dignity Calls|Corner Adept ○|Straightaway Adept|Medium Corners ◎|Lone Wolf|Sky-High Teio Step|Standard Distance ◎|Swinging Maestro|Medium Straightaways ◎|Pace Chaser Corners ◎,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 5}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Medium"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""The Duty of Dignity Calls"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Sky-High Teio Step"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Lucky Seven"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Spring)"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Acceleration"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Pace Chaser Straightaways \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Medium Straightaways \u25cb"", ""count"": 1}]"
5,Agnes Tachyon,9144,7697517873bb2952c7fd257be85c8cd2,2025-10-20 22:50:23,739,625,628,358,679,A,G,G,S,A,B,E,A,B,F,U=ma2|Wet Conditions ◎|Frenzied End Closers|Hesitant Front Runners|Hesitant End Closers|Sharp Gaze|Standard Distance ◎|Breath of Fresh Air|Subdued Front Runners|Hesitant Pace Chasers|Opening Gambit|Tail Held High,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Speed"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 2}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Standard Distance \u25cb"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Frenzied End Closers"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Osaka Hai"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Autumn)"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Straightaway Recovery"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Mile"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Where There's a Will, There's a Way"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Red Shift/LP1211-M"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Trick (Rear)"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Late Surger Corners \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Flustered Pace Chasers"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Fighter"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Mile Ch."", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Yasuda Kinen"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Wet Conditions \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Shifting Gears"", ""count"": 3}]"
6,Agnes Tachyon,9499,aa25e127e40e73cac11c7d028bd101d5,2025-10-20 22:50:23,830,655,732,377,464,A,G,G,C,A,B,E,A,S,F,Introduction to Physiology|Professor of Curvature|Beeline Burst|Medium Corners ◎|Lone Wolf|Standard Distance ◎|Swinging Maestro|Medium Straightaways ◎|Gourmand,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Pace Chaser"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Spring)"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Queen Elizabeth II Cup"", ""count"": 3}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 5}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Medium"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Sky-High Teio Step"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""The Duty of Dignity Calls"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Spring)"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Acceleration"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Pace Chaser Straightaways \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Medium Straightaways \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Lucky Seven"", ""count"": 1}]"
7,Agnes Tachyon,9537,6b7442b9e9e6294249bd9c599ff2eb1c,2025-10-20 22:50:23,970,496,919,283,384,A,G,G,A,S,B,E,A,B,F,"U=ma2|Where There's a Will, There's a Way|Wet Conditions ◎|Corner Recovery ○|Preferred Position|Straight Descent|Red Shift/LP1211-M|Standard Distance ◎|Professor of Curvature|Ramp Up|Shifting Gears","[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Speed"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Mile"", ""count"": 2}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Ramp Up"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Shifting Gears"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Japanese Derby"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Preferred Position"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Speed"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Mile"", ""count"": 4}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Red Shift/LP1211-M"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Mile Ch."", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Yasuda Kinen"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Wet Conditions \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Shifting Gears"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Murmur"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Extra Tank"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""A Small Breather"", ""count"": 1}]"
8,Agnes Tachyon,9870,3b0bb3ea1a62d22f5a3f49465348dc3a,2025-10-20 22:50:23,755,631,690,404,739,A,G,G,D,A,A,D,A,B,F,U=ma2|Wet Conditions ◎|Frenzied End Closers|Hesitant Front Runners|Hesitant End Closers|Dominator|Sharp Gaze|Standard Distance ◎|Nimble Navigator|Flustered Front Runners|Hesitant Pace Chasers|Opening Gambit|Murmur,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 3}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 2}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""U=ma2"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Hesitant Front Runners"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Satsuki Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Flustered Front Runners"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Murmur"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Turf"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Long"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Where There's a Will, There's a Way"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Anchors Aweigh!"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Trick (Rear)"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Late Surger Corners \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Flustered Pace Chasers"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Fighter"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Takarazuka Kinen"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Straightaway Recovery"", ""count"": 1}]"
9,Agnes Tachyon,9890,dd154513baa40823f047d35938c6fa26,2025-10-20 22:50:23,1061,741,547,383,427,S,G,G,B,A,B,E,A,A,F,Introduction to Physiology|Professor of Curvature|Beeline Burst|Homestretch Haste|Tether|Competitive Spirit ◎|Swinging Maestro|Straightaway Acceleration|Medium Straightaways ◎,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 2}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Late Surger"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Arima Kinen"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Straightaway Adept"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Autumn)"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Straightaway Acceleration"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Speed"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Stamina"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Mile"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Late Surger"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Shooting Star"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Kikuka Sho"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Murmur"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Extra Tank"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""A Small Breather"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Firm Conditions \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Recovery \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Standard Distance \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Steadfast"", ""count"": 2}]"
10,Air Groove,11377,e2fef82908a7118931241a8a1db7d326,2025-10-20 22:50:23,786,607,1200,304,450,A,G,C,A,A,E,B,A,A,G,Blazing Pride|Tokyo Racecourse ◎|Beeline Burst|Breath of Fresh Air|Updrafters|Late Surger Straightaways ◎|Triumphant Pulse|Wet Conditions ◎|Straightaway Acceleration|Slick Surge|Mile Straightaways ◎|Late Surger Corners ○,"[{""type"": ""representative"", ""color"": ""blue"", ""spark_name"": ""Wit"", ""count"": 1}, {""type"": ""representative"", ""color"": ""pink"", ""spark_name"": ""Late Surger"", ""count"": 2}, {""type"": ""representative"", ""color"": ""green"", ""spark_name"": ""Blazing Pride"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Takarazuka Kinen"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Queen Elizabeth II Cup"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tokyo Racecourse \u25cb"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Straightaway Recovery"", ""count"": 3}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Japanese Oaks"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Tenno Sho (Autumn)"", ""count"": 1}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Hanshin J.F."", ""count"": 3}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Wet Conditions \u25cb"", ""count"": 2}, {""type"": ""representative"", ""color"": ""white"", ""spark_name"": ""Late Surger Straightaways \u25cb"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""blue"", ""spark_name"": ""Power"", ""count"": 6}, {""type"": ""legacy"", ""color"": ""pink"", ""spark_name"": ""Pace Chaser"", ""count"": 3}, {""type"": ""legacy"", ""color"": ""green"", ""spark_name"": ""Triumphant Pulse"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Asahi Hai F.S."", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Focus"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Corner Adept \u25cb"", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""URA Finale"", ""count"": 4}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Mile Ch."", ""count"": 1}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Queen Elizabeth II Cup"", ""count"": 2}, {""type"": ""legacy"", ""color"": ""white"", ""spark_name"": ""Prepared to Pass"", ""count"": 3}]"
